word,frequency
fuerzas,282
militares,598
restringía,3
actividad,73
remunerada,1
proveerse,2
sustento,4
implicaba,12
quebrantamiento,2
vínculos,7
fa,1
miliares,1
laborales,6
afectado,315
reconocieron,10
dos,570
tipos,17
relegaciones,2
efectúa,2
intervención,35
independiente,18
cargos,60
fundamenta,9
abiertamente,6
violatorio,1
aplicó,32
for,8
ma,13
sanción,15
discrecional,8
calificadas,16
opositoras,7
inicios,6
vir,1
tud,2
artículo,156
transitorio,9
cons,7
titución,2
normalmente,13
lapso,18
ediciones,3
depalma,1
buenos,11
aires,8
glosario,1
operacionales,1
red,10
informática,3
editado,1
fundación,15
ayuda,21
iglesias,26
cristianas,6
fasic,7
1991,11
pág,2
30,173
corta,13
duración,14
motivos,60
carece,9
independencia,18
imparciali,1
aplicando,13
violatoria,2
humanitario,25
empleada,5
frecuencia,45
inme,3
diatamente,3
golpe,111
existía,35
estaba,255
ordenaron,6
realizaron,46
ejemplo,86
motivado,5
presuntos,9
interés,30
supuestas,13
ideológicos,4
lucha,34
subver,1
originaba,1
fundamentales,68
observancia,4
compromisos,6
prioritarios,2
evidente,18
represiva,28
buscó,15
supuesta,31
terrorismo,17
discernir,2
factores,18
único,57
deja,11
omite,23
imputado,5
sancionada,3
enteramente,9
penadas,2
conse,2
cuencia,1
prescripción,6
quehacer,4
político,95
pertenencia,7
partidos,100
declara,28
asociaciones,8
ilícitas,9
doctrina,27
adhieren,1
ocurre,19
77,21
declaró,69
ilícitos,5
pertenecientes,43
unidad,204
popular,99
consideran,5
jurídi,1
cas,10
dictadas,19
contravención,2
jurídicas,15
penalizaron,2
establecie,1
punitivas,5
identidad,50
privativas,4
juicio,72
restrictivas,3
25,121
condenas,21
virtud,63
atribu,1
cla,1
ro,7
dada,40
extensión,13
temporal,12
justificación,25
democrático,12
renovación,4
rigor,21
claros,4
ampliación,9
restricciones,22
existir,15
hipótesis,3
justifica,8
decla,4
ración,3
consiguiente,8
reconocimiento,39
ginebra,11
acusados,29
supuestamente,15
categoría,83
fuero,6
juzgar,11
carecen,3
traduce,2
extensiones,2
períodos,128
requerirse,1
incomunicación,56
limitaciones,8
especiales,28
segu,2
ridad,3
contiene,13
claramente,17
d,94
delictivos,3
sancionados,13
ordi,3
naria,1
cometidos,43
intención,16
derrocar,3
impulsar,2
cambios,10
ilegítima,3
per,28
velarse,1
apliquen,2
organizada,10
diseño,7
estructuras,6
nítidas,1
funcio,5
complementarias,5
resolutivo,1
integrada,12
comisionados,17
vicepresidencia,22
ejecutiva,43
propositivo,1
equipos,12
profesionales,63
técnicos,9
administrativos,10
definida,4
órga,2
asesor,19
contaría,2
apoyo,54
técnico,39
admi,1
nistrativo,1
ministerio,108
encomendada9,1
ocho,31
