word,frequency
guaranteed,1
least,4
half,3
roughest,1
part,1
48,1
rough,1
wound,4
callin,3
taxi,1
drive,3
bed,4
bathroom,4
hurt,9
ears,1
hurts,2
proud,3
sixty,1
busted,3
bent,2
twisted,1
bitten,1
rare,2
sing,1
bleakness,1
icebox,4
glass,3
dresser,1
photo,1
handsome,1
smoothfaced,1
reflected,1
player,2
tellin,3
cuff,1
link,1
sold,2
49,1
bought,4
kit,1
mountain,2
rid,1
kept,1
fallin,1
phone,2
am,7
might,3
worried,3
bellows,1
foghorn,1
smiling,3
50,2
temporary,1
belong,2
guest,1
comfortable,2
51,1
willin,1
uncomfortable,2
intercepts,1
dumbstruck,2
deeply,2
timidly,1
tthank,1
rather,1
knew,1
tease,1
melts,2
lightly,1
sobbing,1
fences,1
arms,4
kisses,4
limp,1
passion,2
respond,1
glides,1
52,1
embraces,2
dam,1
erupts,1
herself,1
freely,1
talking,1
eyebrows,1
knit,1
confusion,3
stairs,10
seconds,3
athletes,1
wonderment,2
disgust,1
quietly,2
goldmill,4
message,3
card,3
breast,1
promotions,1
sparrin,8
puttin,4
53,1
hour,1
jogs,2
beads,1
skyscraper,2
bus,1
midtown,1
broad,1
trot,1
elevator,1
productions,2
secretary,6
startled,1
help,12
multitude,3
walls,1
returns,3
collects,1
54,1
warmly,1
greets,1
hello,2
representation,1
interested,3
excuse,1
available,1
honor,1
shots,6
partner,2
55,1
cigar,2
mate,1
condition,2
spar,3
asking,2
whether,1
weight,3
crashing,1
basket,1
case,2
ponders,1
regains,1
senses,1
watching,8
film,4
interviewed,1
reporter,19
brotherly,1
love,5
patriotic,2
avoid,1
thrusting,1
56,1
mock,2
seriousness,1
send,2
reporters,6
agree,2
virtually,1
winning,1
proves,1
david,1
goliath,2
course,2
coincidence,2
celebrated,1
whatre,2
feelings,2
cook,1
offense,2
lungs,1
paul,1
57,1
fills,3
screen,3
squints,1
largest,1
payday,2
mind,7
elsewhere,1
eatin,1
true,3
youve,2
prizefight,1
comment,1
hi,1
girlfriend,2
blushes,1
dry,1
58,1
remainder,1
directly,1
farce,1
lasts,1
minute,1
borrowed,1
matches,1
exorbitant,1
prices,1
match,2
state,1
athletic,1
commission,1
larry,1
duggan,1
reporting,1
fool,3
lips,2
yall,3
59,1
livin,2
standin,2
errands,1
cared,2
yesterday,1
such,2
overbearing,1
einstein,1
flunked,1
twice,1
roosevelt,1
finished,1
class,2
beethoven,1
helen,1
keller,1
doorway,2
stairway,1
converses,1
upstairs,1
voice,5
echoes,1
stairwell,1
60,1
hearin,1
expect,3
waiting,2
yelling,2
landing,1
completes,3
which,3
resounds,1
throughout,1
sandwiches,1
able,3
61,1
trainin,2
expenses,1
imply,1
whys,1
foolish,1
question,1
curb,1
cab,1
santa,1
claus,1
merry,1
christmas,2
present,5
rug,2
guinneas,1
afroamericans,1
plans,1
62,1
stock,1
market,2
fought,4
irish,1
gallager,1
businessman,2
gloves,3
mama,1
cried,1
peace,1
lay,1
bastard,1
owned,1
66,2
tony,1
kiddin,2
slaps,4
63,1
turning,2
feeds,2
notices,3
telegrams,4
laying,1
threshold,1
sense,1
awe,1
settling,1
knock,4
framed,1
soiled,1
clothing,1
mangled,1
armchair,1
mick,5
joint,3
manner,2
obvious,1
preying,1
having,1
outsiders,1
lives,2
lucky,2
64,1
freak,3
boys,5
colorful,2
hearts,1
peanuts,1
shoved,3
uneasy,2
strange,1
attention,4
drawn,1
domestic,1
businesslike,1
bible,2
sez,2
second,9
advisor,1
pugilism,1
halfsmoked,1
loss,1
65,2
stronger,1
each,9
brooklyn,1
smacked,1
ginny,1
russo,1
september,2
1923,2
firpo,1
dempsey,5
press,2
dates,1
deafly,1
engrossed,4
stitches,1
thirtyfour,1
seventeen,1
times,4
sailor,1
eve,1
1940,1
camden,1
jersey,2
professional,1
pastin,1
read,1
shows,2
tiny,1
clipping,1
cauliflower,1
vegetable,1
pain,8
experience,3
remind,3
prized,1
possession,1
rung,1
compared,1
idol,1
tocker,1
shifts,1
lowers,5
crouch,1
dirtiest,1
treated,2
dogs,2
pit,1
management,2
67,1
boxcars,2
whorehouse,1
basements,1
october,1
1931,1
tack,1
punched,1
holes,1
shootin,1
cheeks,1
watchin,2
outside,6
mighty,1
prime,2
tools,1
starched,1
lightweight,1
husky,1
east,1
coast,2
slick,1
stashed,1
opened,1
dirt,1
lotta,2
scars,2
dagos,1
colosseum,1
rome,1
knowledge,1
protect,1
deal,1
dished,1
gave,4
begging,1
mistake,1
68,1
tightly,3
slide,2
earn,1
helped,2
ashtray,1
kneels,1
knee,2
wantin,1
ask,3
seventysix,1
choked,1
struggles,1
feet,9
beaten,3
moments,2
springing,1
69,1
races,1
toward,2
shadowy,1
hunched,1
form,2
lamp,2
predawn,3
alarm,1
clock,3
accustomed,1
difficulty,1
staggers,4
wavers,1
roaches,1
basin,1
submerges,1
sways,3
dozen,1
eggs,2
cracks,1
raw,2
downs,1
swill,1
quivers,1
wellworn,1
sweat,3
hood,1
sneakers,1
steaming,1
attests,1
running,7
clearly,3
lamps,1
hoisting,1
cans,1
art,2
museum,2
base,1
overwhelmingly,1
steep,3
disappear,1
gray,1
taking,2
halfway,2
brushes,2
descends,1
veers,1
river,1
heaving,1
gusts,1
exhausted,2
breaths,1
lazy,2
jabs,5
aching,1
sides,1
delivering,3
papers,2
observe,1
amusement,1
forces,2
begin,2
70,1
elevated,2
station,2
spring,2
garden,1
roaring,1
blend,1
perfectly,1
sky,1
beginning,2
lighten,1
piers,1
anchored,1
freighters,1
eastern,6
packing,6
company,6
fivethirty,1
loading,2
platform,2
belonging,1
alongside,2
